,Name,Adress,String,Kontakt,Bundesland,ICU low care,ICU high care,ECMO,Stand,Location
167,EvangelischeElisabeth Klinik Berlin,"Lützowstraße 24-26, 10785 Berlin",EvangelischeElisabeth Klinik Berlin Anästhesie und Intensivmedizin Lützowstraße 24-26 10785 Berlin,Intensivstation 7 Website,BE,Begrenzt,Begrenzt,Ausgelastet,21.03.2020 12:07,"(52.5037269, 13.3640559)"
168,St. Josef-Krankenhaus Engelskirchen,"Wohlandstaße 30, 57166 Engelskirchen",St. Josef-Krankenhaus Engelskirchen Anästhesiologie und Intensivmedizin Wohlandstaße 30 57166 Engelskirchen,Intensivstation Website,NRW,Ausgelastet,Begrenzt,Nicht verfügbar,21.03.2020 09:58,"(None, None)"
169,Asklepios Klinikum Hamburg-Harburg,"Eißendorfer Pferdeweg 52, 21075 Hamburg","Asklepios Klinikum Hamburg-Harburg Klinik für Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerz- und Palliativmedizin Eißendorfer Pferdeweg 52 21075 Hamburg",Interdisziplinäre Intensivstation 11 Website,HH,Verfügbar,Verfügbar,Verfügbar,19.03.2020 19:22,"(53.461046, 9.9501627)"
170,St. Elisabeth & St. Barbara Krankenhaus,"Mauerstrasse 5, 6110 Halle",St. Elisabeth & St. Barbara Krankenhaus KAIPSN Mauerstrasse 5 6110 Halle,ITS 1 Website,ST,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 19:21,"(51.47746845, 11.968081109394788)"
171,Sana Klinikum Remscheid,"Burger Straße 211, 42859 Remscheid",Sana Klinikum Remscheid Burger Straße 211 42859 Remscheid,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 15:02,"(51.1616257, 7.1887229)"
172,Städtisches Klinikum Brandenburg GmbH Hochschulklinikum der MHB,"Hochstrasse 29, 14770 Brandenburg an der Havel",Städtisches Klinikum Brandenburg GmbH Hochschulklinikum der MHB Klinik für Anästhesiologie und Intensivtherapie; Klinik für Innere Medizin I Hochstrasse 29 14770 Brandenburg an der Havel,ITS 1+2 Website,BB,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 11:39,"(52.41373945, 12.546373704891693)"
173,Rhön Klinikum Campus Bad Neustadt,"Von Guttenbergstraße 11, 97616 Bad Neustadt",Rhön Klinikum Campus Bad Neustadt Anästhesie Von Guttenbergstraße 11 97616 Bad Neustadt,Intensivstation Website,BY,Verfügbar,Verfügbar,Verfügbar,20.03.2020 11:43,"(50.3227554, 10.2343508)"
174,St. Joseph Krankenhaus,"Wüsthoffstr. 15, 12101 Berlin",St. Joseph Krankenhaus Med. Klinik II/Anästhesie Wüsthoffstr. 15 12101 Berlin,Station 28 Website,BE,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 13:51,"(52.47814205, 13.372949316293703)"
175,"Klinikum Dahme Spreewald GmbH, Achenbach Krankenhaus","Köpenicker Str 29, 15711 Königs Wusterhausen","Klinikum Dahme Spreewald GmbH, Achenbach Krankenhaus Anästhesie und Intensivmedizin Köpenicker Str 29 15711 Königs Wusterhausen",ITS Website,BB,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 10:02,"(52.30331975, 13.628186861126839)"
176,Klinikverbund St. Antonius und St. Josef GmbH,"Bergstr. 6-12, 42105 Wuppertal","Klinikverbund St. Antonius und St. Josef GmbH Klinik für Anästhesie, Intensiv- und Schmerztherapie Bergstr. 6-12 42105 Wuppertal",Website,NRW,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 17:07,"(51.259782799999996, 7.143365919168306)"
177,Sana-Herzzentrum Cottbus GmBh,"Leipziger Straße 50, 3048 Cottbus",Sana-Herzzentrum Cottbus GmBh Leipziger Straße 50 3048 Cottbus,Intensivstation Website,BB,Ausgelastet,Begrenzt,Begrenzt,20.03.2020 12:13,"(51.7439328, 14.319517846230866)"
178,Alb Donau Klinikum- Standort Ehingen,"Spitalstrasse 29, 89584 Ehingen",Alb Donau Klinikum- Standort Ehingen Anästhesie und Intensivmedizin Spitalstrasse 29 89584 Ehingen,Intensivstation Website,BW,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 17:25,"(48.2808912, 9.7189124)"
179,"Universität Magdeburg, Klinik für Kardiologie und Angiologie","Leipzigerstr. 44, 39120 Magdeburg","Universität Magdeburg, Klinik für Kardiologie und Angiologie Kardiologie Leipzigerstr. 44 39120 Magdeburg",KAR3I,ST,Ausgelastet,Verfügbar,Verfügbar,19.03.2020 16:57,"(52.1019596, 11.6198087)"
180,St. Bernhard-Hospital Brake,"Claußenstraße 3, 26919 Brake",St. Bernhard-Hospital Brake Interdisziplinäre Intensivstation Claußenstraße 3 26919 Brake,ITS Website,NI,Begrenzt,Begrenzt,Ausgelastet,19.03.2020 16:55,"(53.32392505, 8.482312737597589)"
181,Helios Klinikum Schleswig,"St. Jürgener Str. 1-3, 24837 Schleswig",Helios Klinikum Schleswig Anästhesie und Intensivmedizin St. Jürgener Str. 1-3 24837 Schleswig,Interdiszipliäre Intensivmedizin Website,SH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:00,"(54.52509015, 9.56582826617449)"
182,KRH Siloah Hannover,"Stadionbrücke 4, 30459 Hannover",KRH Siloah Hannover Klinik für Pneumologie und internistische Intensivmedizin Stadionbrücke 4 30459 Hannover,Intensivstation Website,NI,Verfügbar,Verfügbar,Verfügbar,19.03.2020 16:31,"(52.3593815, 9.724677)"
183,Asklepios Klinik Altona,"Paul-Ehrlich Str. 1, 22763 Hamburg",Asklepios Klinik Altona Paul-Ehrlich Str. 1 22763 Hamburg,2C und 2I Website,HH,Verfügbar,Verfügbar,Ausgelastet,21.03.2020 09:13,"(53.5546206, 9.898890254652358)"
184,Universität München Campus Innenstadt,"Nußbaumstr. 20, 80336 München",Universität München Campus Innenstadt Klinik für Anaesthesiologie und Klinik für Allgemein- und Unfallchirurgie Nußbaumstr. 20 80336 München,Anaesthesiologisch-Chirurgische Intensivstation ANIS5,BY,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 16:11,"(48.1335286, 11.561455418749418)"
185,Sana Kliniken des Landkreises Cham,"August-Holz-Str. 1, 93413 Cham",Sana Kliniken des Landkreises Cham Anästhesiologie und Intensivmedizin August-Holz-Str. 1 93413 Cham,Interdisziplinäre Intensivstation,BY,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 16:07,"(49.2273719, 12.6595194)"
186,Universitätsklinikum Schleswig-Holstein Campus Lübeck,"Ratzeburger Allee 160, 23538 Lübeck",Universitätsklinikum Schleswig-Holstein Campus Lübeck Sektion Interdisziplinäre Konservative Intensivmedizin Ratzeburger Allee 160 23538 Lübeck,Sektion Interdisziplinäre Konservative Intensivmedizin,SH,Verfügbar,Verfügbar,Verfügbar,19.03.2020 15:44,"(53.8577513, 10.6934715)"
187,Alb-Donau-Klinikum Blaubeuren,"Ulmerstr. 26, 89143 Blaubeuren",Alb-Donau-Klinikum Blaubeuren Anästhesie und Intensivmedizin Ulmerstr. 26 89143 Blaubeuren,Interdisziplinäre Intensivstation,BW,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 15:22,"(48.4091171, 9.7890315)"
188,Asklepios Klinik Lindau,"Friedrichshafener Str. 82, 88131 Lindau",Asklepios Klinik Lindau Anästhesie Friedrichshafener Str. 82 88131 Lindau,ITS Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:01,"(47.5636716, 9.684165931825849)"
189,"Klinik für Neurologie am Universitätsklinikum des Saarlandes, Homburg/Saar","Kirrberger Strasse 100, 66421 Homburg","Klinik für Neurologie am Universitätsklinikum des Saarlandes, Homburg/Saar Neurologie Kirrberger Strasse 100 66421 Homburg",NN-05 und NN-01 Website,SL,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 13:46,"(49.306219049999996, 7.346492461817151)"
190,Kreisklink Wertingen,"Ebersberg 36, 86637 Wertingen",Kreisklink Wertingen Interdisziplinär Ebersberg 36 86637 Wertingen,IPS/IMC Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:49,"(48.5639854, 10.6804158)"
191,Rotkreuzklinik Wertheim,"Rotkreuzstrasse 2, 97877 Wertheim",Rotkreuzklinik Wertheim Rotkreuzstrasse 2 97877 Wertheim,Intensiv Website,BW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 13:58,"(49.7595798, 9.4977734)"
192,Asklepios Klinik Birkenwerder,"Hubertusstrasse 12-22, 16547 Birkenwerder",Asklepios Klinik Birkenwerder Hubertusstrasse 12-22 16547 Birkenwerder,ITS Website,BB,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 13:44,"(52.692073199999996, 13.298211676119628)"
193,Gesundheitszentrum Odenwaldkreis GmbH,"Albert Schweitzer Straße 10-20, 64711 Erbach","Gesundheitszentrum Odenwaldkreis GmbH Innere Medizin, Anästhesiologie Albert Schweitzer Straße 10-20 64711 Erbach",Intensivstation I + II Website,HE,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 21:48,"(49.6526174, 9.0009753)"
194,Universitätsklinikum Jena,"Am Klinikum 1, 7747 Jena",Universitätsklinikum Jena Am Klinikum 1 7747 Jena,Intensivmedizin Website,TH,Begrenzt,Begrenzt,Begrenzt,21.03.2020 10:58,"(50.8864191, 11.6213351)"
195,Diakoneo Rangauklinik Ansbach GmbH,"Strüth 24, 91522 Ansbach",Diakoneo Rangauklinik Ansbach GmbH Strüth 24 91522 Ansbach,9,BY,Ausgelastet,Ausgelastet,Ausgelastet,19.03.2020 14:51,"(49.32559929999999, 10.540008212109722)"
196,Rhein-Mosel-Fachklinik Andernach,"Vulkanstr. 58, 56626 Andernach",Rhein-Mosel-Fachklinik Andernach Neurologie Vulkanstr. 58 56626 Andernach,Neurologie 3 Website,RP,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 18:36,"(50.4290375, 7.3976473)"
197,Universitätsklinikum Marien Hospital Herne,"Hölkeskampring 40, 44625 herne",Universitätsklinikum Marien Hospital Herne Innere Medizin/Anästhesiologie Hölkeskampring 40 44625 herne,interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 22:30,"(51.528622999999996, 7.22658694606052)"
198,Universitätsmedizin Rostock - Teilkörperschaft der Universität Rostock,"Gehlsheimer Str. 20, 18147 Rostock",Universitätsmedizin Rostock - Teilkörperschaft der Universität Rostock Klinik und Poliklinik für Neurologie Gehlsheimer Str. 20 18147 Rostock,Neurologische Intensivstation Website,MV,Begrenzt,Begrenzt,Ausgelastet,19.03.2020 16:10,"(54.1015261, 12.133550802583196)"
199,EVK Mettmann,"Gartenstraße 4-8, 40822 Mettmann",EVK Mettmann Anästhesie Gartenstraße 4-8 40822 Mettmann,Interdisziplinäre Intensivstation Website,NRW,Begrenzt,Verfügbar,Nicht verfügbar,19.03.2020 14:17,"(51.25059525, 6.970018746076766)"
200,Sächsisches Krankenhaus Arnsdorf,"Hufelandstr. 15, 1477 Arnsdorf",Sächsisches Krankenhaus Arnsdorf Klinik für Neurologie Hufelandstr. 15 1477 Arnsdorf,Intensivstation Website,SN,Ausgelastet,Begrenzt,Ausgelastet,19.03.2020 14:09,"(51.0931803, 13.9964979)"
201,Krankenhaus Angermünde,"Rudolf-Breitscheid-Str. 37, 16278 Angermünde",Krankenhaus Angermünde Klinik für Innere Medizin Rudolf-Breitscheid-Str. 37 16278 Angermünde,Intensivstation Website,BB,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 08:24,"(53.012795, 13.98887935126325)"
202,Krankenhaus Maria Hilf MAW,"Dahlienweg 3-5, 53474 Bad Neuenahr-Ahrweiler",Krankenhaus Maria Hilf MAW Anästhesiologie Dahlienweg 3-5 53474 Bad Neuenahr-Ahrweiler,Intensiv Website,RP,Ausgelastet,Begrenzt,Ausgelastet,19.03.2020 13:54,"(50.5414819, 7.1286491)"
203,Marienhausklinik St. Josef Losheim am See,"Krankenhausstraße 21, 66679 Losheim am See",Marienhausklinik St. Josef Losheim am See Krankenhausstraße 21 66679 Losheim am See,Intensivstation Website,SL,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 14:04,"(49.509336000000005, 6.739324768318847)"
204,St. Franziskus Hospital Ahlen,"Robert-Koch Str. 55, 59227 Ahlen",St. Franziskus Hospital Ahlen Interdisziplinäre Intensivstation Robert-Koch Str. 55 59227 Ahlen,1F Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,19.03.2020 13:38,"(51.7665726, 7.884049)"
205,Asklepios Stadtklinik Bad Tölz,"Schützenstr. 15, 83646 Bad Tölz",Asklepios Stadtklinik Bad Tölz Schützenstr. 15 83646 Bad Tölz,Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 13:19,"(47.75757405, 11.551508523489957)"
206,Kreiskrankenhaus Saarburg GmbH,"Graf-Siegfried-Str. 115, 54439 Saarburg",Kreiskrankenhaus Saarburg GmbH Anästhesie und Intensivmedizin Graf-Siegfried-Str. 115 54439 Saarburg,Intensivstation Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 08:01,"(49.602629750000006, 6.537899740692156)"
207,Caritas Krankenhaus St. Josef,"Landshuter Str. 65, 93053 Regensburg",Caritas Krankenhaus St. Josef Anaesthesiologie und Intensivmedizin Landshuter Str. 65 93053 Regensburg,Interdisziplinäre Intensivstation Website,BY,Ausgelastet,Begrenzt,Verfügbar,21.03.2020 16:07,"(49.0068225, 12.119172605025266)"
208,Kreisklinik Wörth an der Donau,"Krankenhausstraße 2, 93086 Wörth an der Donau",Kreisklinik Wörth an der Donau Krankenhausstraße 2 93086 Wörth an der Donau,Interdisziplinäre Intensivstation Website,BY,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 17:14,"(48.9988256, 12.399564783249575)"
209,Städtisches Klinikum Dresden- Standort Neustadt,"Industriestrasse 40, 1129 Dresden",Städtisches Klinikum Dresden- Standort Neustadt Klinik für Anästhesiologie und Intensivtherapie Industriestrasse 40 1129 Dresden,Intensivstation S216 Website,SN,Verfügbar,Begrenzt,Ausgelastet,19.03.2020 13:22,"(51.0906033, 13.708354873335558)"
210,Evangelische Lungenklinik Berlin,"Lindenberger Weg 27, 13125 Berlin",Evangelische Lungenklinik Berlin Anästhesie und Intensivmedizin Lindenberger Weg 27 13125 Berlin,Intensivstation 1 Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 17:23,"(52.6313524, 13.5059061)"
211,Sana-Klinikum Hameln,"Saint-Maur-Platz, 31785 Hameln",Sana-Klinikum Hameln Anästhesie & Kardiologie Saint-Maur-Platz 31785 Hameln,C2,NI,Begrenzt,Begrenzt,Ausgelastet,19.03.2020 13:09,"(52.10645, 9.3529261)"
212,Vincenz-Krankenhaus Datteln,"Rottstraße 11, 45711 Datteln",Vincenz-Krankenhaus Datteln Innere Rottstraße 11 45711 Datteln,Intensivstation Website,NRW,Ausgelastet,Verfügbar,Nicht verfügbar,19.03.2020 13:07,"(51.65181555, 7.345093130725441)"
213,Havelland Kliniken Standort Rathenow,"Forststraße 45, 14712 Rathenow",Havelland Kliniken Standort Rathenow Klinik für Anästhesie und Intensivmedizin Forststraße 45 14712 Rathenow,Intensivstation Website,BB,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 09:49,"(52.6058344, 12.3462858)"
214,ViDia Diakonissenkrankenhaus,"Diakonissenstraße 28, 76199 Karlsruhe","ViDia Diakonissenkrankenhaus Klinik für Anästhesie, Intensiv- und Notfallmedizin Diakonissenstraße 28 76199 Karlsruhe",Intensivstation Website,BW,Begrenzt,Begrenzt,Ausgelastet,21.03.2020 16:15,"(48.9719591, 8.4094139)"
215,Klinikum Nürnberg Süd,"Breslauer Straße 201, 90471 Nürnberg",Klinikum Nürnberg Süd Medizinische Klinik 8 Breslauer Straße 201 90471 Nürnberg,Internistische Intensivstation B.U1.3-5 Website,BY,Verfügbar,Verfügbar,Verfügbar,20.03.2020 09:04,"(49.4130364, 11.1496607)"
216,Johanniter Gmbh - Waldkrankenhaus Bonn,"Waldstrasse 73, 53177 Bonn",Johanniter Gmbh - Waldkrankenhaus Bonn Anästhesie u. Intensivmedizin Waldstrasse 73 53177 Bonn,Interdisziplinäre Intensivstation Website,NRW,Ausgelastet,Ausgelastet,Nicht verfügbar,19.03.2020 12:46,"(50.6822014, 7.128537457070218)"
217,Klinikum Osnabrück,"Am Finkenhügel 1, 49076 Osnabrück",Klinikum Osnabrück Zentrum für interdisziplinäre Intensivmedizin Am Finkenhügel 1 49076 Osnabrück,0541 405 5500 Website,NI,Verfügbar,Verfügbar,Verfügbar,21.03.2020 13:37,"(52.278249349999996, 8.002721000975633)"
218,Vivantes Klinikum Neukölln,"Rudower Straße 48, 12351 Berlin","Vivantes Klinikum Neukölln Klinik für Kardiologie, Angiologie, Nephrologie und konservative Intensivmedizin Rudower Straße 48 12351 Berlin",ITS 2 Website,BE,Verfügbar,Verfügbar,Ausgelastet,21.03.2020 14:10,"(52.43739825, 13.459393787861796)"
219,GRN-Klinik Schwetzingen,"Bodelschwinghstr. 10, 68723 Schwetzingen",GRN-Klinik Schwetzingen Anästhesie & Intensivmedizin Bodelschwinghstr. 10 68723 Schwetzingen,Intensivstation Website,BW,Begrenzt,Begrenzt,Ausgelastet,19.03.2020 12:28,"(49.3779054, 8.57039633839659)"
220,Asklepios Klinik Kinderklinik Sankt Augustin,"Arnold-Janssen-Strasse 29, 53757 Sankt Augustin",Asklepios Klinik Kinderklinik Sankt Augustin Neonatologie und Pädiatrische Intensivmedizin Arnold-Janssen-Strasse 29 53757 Sankt Augustin,KITZ Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:02,"(50.775592849999995, 7.180870691985465)"
221,Sankt Gertrauden Krankenhaus GmbH,"Parezter Str. 12, 10713 Berlin",Sankt Gertrauden Krankenhaus GmbH Anästhesie und Interdisziplinäre Intensvimedizin Parezter Str. 12 10713 Berlin,ITS-35 Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 19:19,"(None, None)"
222,"UK Würzburg, Klinik für Chirurgie I","Oberdürrbacher Straße 6, 97080 Würzburg","UK Würzburg, Klinik für Chirurgie I Klinik für Chirurgie I Oberdürrbacher Straße 6 97080 Würzburg",chirurgische Intensivstation Website,BY,Ausgelastet,Ausgelastet,Ausgelastet,19.03.2020 12:17,"(49.8061934, 9.9580134)"
223,Allgemeines Krankenhaus Viersen,"Hoserkirchweg 63, 41747 Viersen","Allgemeines Krankenhaus Viersen Institut für Anästhesie, Intensivmedizin, Notfallmedizin und Schmerztherapie Hoserkirchweg 63 41747 Viersen",interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Verfügbar,21.03.2020 11:23,"(51.2514473, 6.3828462)"
224,SMH Hospital Düren gGmbH,"Hospitalstraße 44, 52353 Düren",SMH Hospital Düren gGmbH Anästhesiologie Hospitalstraße 44 52353 Düren,Intensivstation Erwachsene Website,NRW,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 10:45,"(50.8224091, 6.466599001717093)"
225,Agaplesion Diakonieklinikum Hamburg,"Hohe Weide 17, 20259 Hamburg",Agaplesion Diakonieklinikum Hamburg Interdisziplinäre Intensivstation Hohe Weide 17 20259 Hamburg,D1 Website,HH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:13,"(53.5717926, 9.965901024860162)"
226,St. Elisabeth Krankenhaus Lahnstein - Ihr Gesundeheitszentrum - GmbH,"Ostallee 3, 56112 Lahnstein",St. Elisabeth Krankenhaus Lahnstein - Ihr Gesundeheitszentrum - GmbH Klinik für Anästhesie- und Intensivmedizin Ostallee 3 56112 Lahnstein,Intensivstation Website,RP,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 07:49,"(50.3052369, 7.6090921132143485)"
227,Asklepios-ASB Klinik Radeberg,"Pulsnitzer Strasse 60, 1454 Radeberg",Asklepios-ASB Klinik Radeberg Pulsnitzer Strasse 60 1454 Radeberg,Interdisziplinäre Intensivstation Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 20:10,"(51.12339465, 13.930880523982914)"
228,Bundeswehrkrankenhaus Berlin,"Scharnhorststraße 13, 10115 Berlin",Bundeswehrkrankenhaus Berlin AINS Scharnhorststraße 13 10115 Berlin,Interdisziplinäre Intensivstation Website,BE,Begrenzt,Begrenzt,Verfügbar,20.03.2020 11:34,"(52.53562625, 13.371288438611874)"
229,Havelland-Kliniken Standort Nauen,"Ketziner Straße 21, 14641 Nauen",Havelland-Kliniken Standort Nauen Anästhesie und Intensivmedizin Ketziner Straße 21 14641 Nauen,Intensivstation Website,BB,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 12:55,"(52.6007689, 12.875890856649406)"
230,Sana Klinikum Lichtenberg,"Fanningerstraße 32, 10365 Berlin",Sana Klinikum Lichtenberg Klinik für Anästhesie und Intensivmedizin Fanningerstraße 32 10365 Berlin,7a/IMC Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 17:45,"(52.51328445, 13.49590121593346)"
231,Schön Klinik Düsseldorf,"Am Heerdter Krankenhaus 2, 40549 Düsseldorf",Schön Klinik Düsseldorf Anästhesiologie und Intensivmedizin Am Heerdter Krankenhaus 2 40549 Düsseldorf,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 17:12,"(51.231509, 6.7274334)"
232,Stauferklinikum Schwäbisch Gmünd,"Wetzgauerstrasse 85, 73557 Mutlangen",Stauferklinikum Schwäbisch Gmünd Interdisziplinäres Zentrum Intensivmedizin Wetzgauerstrasse 85 73557 Mutlangen,19 Website,BW,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 10:46,"(48.8194142, 9.787522670483249)"
233,Städtisches Krankenhaus Eisenhüttenstadt GmbH,"Friedrich-Engels-Str. 39, 15890 Eisenhüttenstadt",Städtisches Krankenhaus Eisenhüttenstadt GmbH Klinik AINS Friedrich-Engels-Str. 39 15890 Eisenhüttenstadt,Intensivstation Website,BB,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 07:57,"(52.1412225, 14.624931838868935)"
234,Sana Krankenhaus Benrath,"Urdenbacher Allee 83, 40593 Düsseldorf",Sana Krankenhaus Benrath Klinik für Anästhesie und Intensivmedizin Urdenbacher Allee 83 40593 Düsseldorf,Interdisziplinäre Intensistation Website,NRW,Ausgelastet,Verfügbar,Ausgelastet,21.03.2020 10:54,"(51.1524288, 6.8709642)"
235,Johanniter Krankenhaus Bonn,"Sträßchensweg 3-5, 53113 Bonn",Johanniter Krankenhaus Bonn Anästhesiologie und Intensivmedizin Sträßchensweg 3-5 53113 Bonn,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Ausgelastet,19.03.2020 15:17,"(50.7141384, 7.1324593)"
236,Herz-Jesu-Krankenhaus Dernbach,"Südring 8, 56428 Dernbach",Herz-Jesu-Krankenhaus Dernbach Südring 8 56428 Dernbach,Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 12:59,"(50.4527152, 7.7846649)"
237,Herzzentrum Dresden Klinik für Herzchirurgie,"Fetscherstr. 76, 1307 Dresden",Herzzentrum Dresden Klinik für Herzchirurgie Klinik für Herzchirurgie Fetscherstr. 76 1307 Dresden,Intensiv 2B Website,SN,Ausgelastet,Verfügbar,Verfügbar,20.03.2020 09:23,"(51.058118, 13.778063540179541)"
238,SANA Klinikum Offenbach,"Starkenburgring 66, 63069 Offenbach","SANA Klinikum Offenbach Klinik für Anästhesiologie, operative Intensivmedizin und Schmerztherapie Starkenburgring 66 63069 Offenbach",S2A Website,HE,Verfügbar,Verfügbar,Begrenzt,20.03.2020 13:45,"(50.0944214, 8.756257355222006)"
239,"Klinikum Würzburg Mitte Standort Missioklinik, Salvatorstrasse 7, 97074 Würzburg","Salvatorstr. 7, 97074 Würzburg","Klinikum Würzburg Mitte Standort Missioklinik, Salvatorstrasse 7, 97074 Würzburg Klinik Anästhesiologie und Intensivmedizin Salvatorstr. 7 97074 Würzburg",Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:18,"(49.7937229, 9.9531356)"
240,"Klinikum Nordfriesland, Klinik Husum","Erichsenweg 16, 25813 Husum","Klinikum Nordfriesland, Klinik Husum Anästhesie und Intensivmedizin Erichsenweg 16 25813 Husum",Interdisziplinäre Intensivstation Website,SH,Verfügbar,Verfügbar,Ausgelastet,20.03.2020 11:03,"(54.48335865, 9.050184014364135)"
241,Asklepios Klinik Weißenfels,"Naumburger Straße 76, 6667 Weissenfels",Asklepios Klinik Weißenfels Klinik für Anästhesiologie und Intensivmedizin Naumburger Straße 76 6667 Weissenfels,Interdisziplinäre Intensivstation (S 1) Website,ST,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 11:31,"(51.193910450000004, 11.95680780918136)"
242,Helios-Kliniken Mittelweser,"Ziegelkampstraße 39, 31582 Nienburg",Helios-Kliniken Mittelweser Ziegelkampstraße 39 31582 Nienburg,Website,NI,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 10:54,"(52.63571745, 9.224453959568812)"
243,Klinikum Frankfurt Oder GmbH,"Müllroser Chaussee 7, 15236 Frankfurt/ Oder",Klinikum Frankfurt Oder GmbH Klinik für Anästhesie und Intensivmedizin Müllroser Chaussee 7 15236 Frankfurt/ Oder,63A+B Website,BB,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 19:18,"(52.3026869, 14.4821786)"
244,Sana Kliniken Leipziger Land,"Rudolf - Virchow-Str. 2, 4552 Borna","Sana Kliniken Leipziger Land Klinik für Anästhesie, Intensivmedizin, Schmerztherapie und Palliativmedizin Rudolf - Virchow-Str. 2 4552 Borna",Intensivstation Website,SN,Verfügbar,Verfügbar,Ausgelastet,21.03.2020 09:25,"(51.1346876, 12.505392948209622)"
245,Lukaskrankenhaus Neuss,"Preußenstraße 84, 41464 Neuss",Lukaskrankenhaus Neuss Klinik für Kinder- und Jugendmedizin Preußenstraße 84 41464 Neuss,Pädiatrische Intensivstation Website,NRW,Verfügbar,Begrenzt,Ausgelastet,19.03.2020 10:58,"(51.1915915, 6.671590753481393)"
246,Agaplesion Diakonieklinikum Rotenburg,"Elise-Averdieck-Straße 17, 27356 Rotenburg (Wümme)",Agaplesion Diakonieklinikum Rotenburg Zentrum für Intensivmedizin Elise-Averdieck-Straße 17 27356 Rotenburg (Wümme),Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 11:34,"(53.105219950000006, 9.412895981134582)"
247,Kliniken Essen-Mitte Ev. Krankenhaus Werden,"Pattbergstrasse 1-3, 45239 Essen",Kliniken Essen-Mitte Ev. Krankenhaus Werden Kardiologie Pattbergstrasse 1-3 45239 Essen,INTW Website,NRW,Ausgelastet,Begrenzt,Nicht verfügbar,21.03.2020 14:12,"(51.39001815, 7.005932509588023)"
248,Pädiatrische Intensivstation Universitätskinderklinik Magdeburg,"Leipziger Straße 44, 39120 Magdeburg",Pädiatrische Intensivstation Universitätskinderklinik Magdeburg Kinderklinik Leipziger Straße 44 39120 Magdeburg,PAEI1 Website,ST,Verfügbar,Begrenzt,Nicht verfügbar,19.03.2020 10:54,"(52.1019596, 11.6198087)"
249,Diakonie-Klinikum Stuttgart,"Rosenbergstraße 38, 70176 Stuttgart",Diakonie-Klinikum Stuttgart Rosenbergstraße 38 70176 Stuttgart,Corona Intensiv/ IMC Website,BW,Begrenzt,Ausgelastet,Nicht verfügbar,21.03.2020 12:10,"(48.78164625, 9.164277056304392)"
